clip_name,class
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_00_clip8.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_00_clip10.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_00_clip11.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_00_clip12.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_00_clip16.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_00_clip19.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_01_clip1.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_01_clip3.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_01_clip5.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_01_clip7.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_01_clip21.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_01_clip29.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip2.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip4.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip6.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip9.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip13.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip14.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip15.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip17.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip18.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_02_clip20.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_03_clip24.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_03_clip27.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_04_clip22.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_04_clip23.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_04_clip25.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_04_clip26.wav,Non Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_04_clip28.wav,Violent
Armed Man Shot by Deputy Responding to Active Shooter Call [eXPGbC7LE1U]_SPEAKER_04_clip30.wav,Non Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip1.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip3.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip5.wav,Non Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip14.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip15.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip16.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip17.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip18.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip19.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip20.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_00_clip21.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_01_clip7.wav,Non Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_01_clip8.wav,Non Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_01_clip9.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_01_clip10.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_01_clip11.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_02_clip2.wav,Non Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_02_clip4.wav,Non Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_02_clip6.wav,Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_02_clip12.wav,Non Violent
BART Police Bodycam Video Of Shaleem Tindle Shooting [MrVBY-mTOpk]_SPEAKER_02_clip13.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip1.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip2.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip4.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip5.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip6.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip7.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip8.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip9.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip10.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip11.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip12.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip15.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip16.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip17.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip18.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip19.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip20.wav,Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip21.wav,Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip22.wav,Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip23.wav,Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip24.wav,Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip25.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip26.wav,Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip27.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip28.wav,Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip29.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip30.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip31.wav,Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip32.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip33.wav,Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip34.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip35.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip36.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip37.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip38.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip39.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_00_clip40.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_01_clip3.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_01_clip13.wav,Non Violent
Body Camera Video Captures Shooting After Suspect Grabs Officers Gun [tUmMMA9LtJs]_SPEAKER_01_clip14.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip1.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip2.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip3.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip4.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip6.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip7.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip8.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip9.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip10.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip11.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip12.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip13.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip14.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip15.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip16.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip17.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip18.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip19.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip20.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip21.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip22.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip23.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip24.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip25.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip26.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip27.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip28.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip29.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip30.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip31.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip32.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip33.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip34.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip35.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip36.wav,Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip37.wav,Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip38.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip39.wav,Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip40.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip41.wav,Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip42.wav,Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip43.wav,Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip44.wav,Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip45.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip46.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip48.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip49.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip50.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip51.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip52.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip53.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip54.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip55.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_00_clip56.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_01_clip5.wav,Non Violent
Bodycam Captures a Man Pulling Out a Pistol And Opening Fire On Officers [EiwoyZFN8Jw]_SPEAKER_01_clip47.wav,Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_00_clip1.wav",Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_00_clip2.wav",Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_00_clip3.wav",Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_00_clip4.wav",Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_00_clip5.wav",Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_00_clip6.wav",Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_00_clip7.wav",Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_00_clip8.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_00_clip9.wav",Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_00_clip10.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_00_clip11.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_00_clip42.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_00_clip43.wav",Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_00_clip48.wav",Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_00_clip50.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_00_clip52.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_00_clip71.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_01_clip22.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_01_clip23.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_01_clip24.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_01_clip25.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_01_clip26.wav",Non Violent
"Bodycam Captures Fatal Police Shootout in Baltimore, Maryland ⚠(Volume Warning) [I0MeeloG8bM]_SPEAKER_01_clip27.wav",Non Violent
